"","x"
"1","Amelia"
"2","BBmisc"
"3","BCEA"
"4","caTools"
"5","cbsodataR"
"6","checkpoint"
"7","cmprsk"
"8","dampack"
"9","data.table"
"10","des"
"11","diagram"
"12","DiagrammeR"
"13","doParallel"
"14","doSNOW"
"15","dplyr"
"16","eha"
"17","flexsurv"
"18","flexsurvcure"
"19","foreach"
"20","foreign"
"21","gee"
"22","ggplot2"
"23","gt"
"24","heemod"
"25","here"
"26","hesim"
"27","igraph"
"28","kableExtra"
"29","knitr"
"30","lme4"
"31","MASS"
"32","mc2d"
"33","mi"
"34","mice"
"35","miceadds"
"36","micemd"
"37","missingHE"
"38","msm"
"39","mstate"
"40","muhaz"
"41","mvtnorm"
"42","nlme"
"43","openxlsx"
"44","parallel"
"45","plotly"
"46","readxl"
"47","renv"
"48","reshape"
"49","reshape2"
"50","rmarkdown"
"51","scales"
"52","shiny"
"53","simmer"
"54","survHE"
"55","survival"
"56","tidyr"
"57","tidyverse"
"58","VIM"
"59","DALY"
"60","PROscorer"
"61","ICEinfer"
"62","rdecision"
"63","easyBIM"
"64","SHELF"
"65","easysurv"
"66","psm3mkv"
"67","survivalSL"
"68","hdcuremodels"
